RQ_ID,RQ_Text,Scholar_Score,Scholar_Status,Stats_Score,Stats_Status,Plan_Exists,Tools_Status,Analysis_Status,Concept_Status
"7.1.1","Do cognitive tests predict overall REMEMVR ability?",9.1,"CONDITIONAL",8.2,"CONDITIONAL",True,"success","pending","success"
"7.1.2","Intercept vs Slope Prediction",9.3,"APPROVED",9.5,"APPROVED",True,"pending","pending","success"
"7.1.3","Domain-Specific Prediction Patterns",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.1.4","Unique REMEMVR variance unexplained by all predictors?",9.3,"APPROVED",9.4,"APPROVED",True,"success","pending","success"
"7.2.1","Error reading concept: 'utf-8' codec can't decode byte 0xd7 in position 951: invalid continuation byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.2.2","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 6105: invalid start byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.2.3","Age x Cognitive Test Interaction",9.3,"APPROVED",8.5,"CONDITIONAL",True,"pending","pending","success"
"7.2.4","Error reading concept: 'utf-8' codec can't decode byte 0xd7 in position 879: invalid continuation byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.3.1","Error reading concept: 'utf-8' codec can't decode byte 0xd7 in position 1531: invalid continuation byte",9.3,"APPROVED",9.4,"APPROVED",True,"pending","pending","success"
"7.3.2","Cognitive Predictors of Calibration Quality",9.3,"APPROVED",9.4,"APPROVED",True,"pending","pending","success"
"7.3.3","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 2864: invalid start byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.3.4","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 5677: invalid start byte",9.3,"APPROVED",9.1,"CONDITIONAL",True,"pending","pending","success"
"7.3.5","Does confidence-accuracy gap predict cognitive reserve?",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.4.1","Error reading concept: 'utf-8' codec can't decode byte 0xb1 in position 6454: invalid start byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.4.2","BVMT predicts Where more than What",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.4.3","RPM Predicts Temporal Integration Performance",9.1,"CONDITIONAL",9.1,"CONDITIONAL",True,"pending","pending","success"
"7.5.1","Self-Report Predictors of REMEMVR Performance",9.3,"APPROVED",9.4,"APPROVED",True,"pending","pending","success"
"7.5.2","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 3094: invalid start byte",9.4,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.5.3","Memory Strategies Predicting Performance",9.1,"CONDITIONAL",9.1,"APPROVED",True,"pending","pending","success"
"7.5.4","Error reading concept: 'utf-8' codec can't decode byte 0xd7 in position 500: invalid continuation byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
"7.6.1","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 2274: invalid start byte",9.4,"APPROVED",9.2,"APPROVED",True,"pending","pending","success"
"7.6.2","Does RAVLT Delayed predict REMEMVR slope?",9.1,"CONDITIONAL",8.8,"CONDITIONAL",True,"pending","pending","success"
"7.6.3","ICC slope replication across domains",9.3,"APPROVED",9.0,"APPROVED",True,"pending","pending","success"
"7.6.4","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 2143: invalid start byte",9.3,"APPROVED",9.4,"APPROVED",True,"pending","pending","success"
"7.7.1","Error reading concept: 'utf-8' codec can't decode byte 0x92 in position 491: invalid start byte",,"Not assessed",,"Not assessed",True,"Not started","Not started","Not found"
"7.7.2","Discrepancy Analysis - Who diverges?",9.3,"APPROVED",8.2,"CONDITIONAL",True,"pending","pending","success"
"7.7.3","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 3134: invalid start byte",9.3,"APPROVED",9.6,"APPROVED",True,"pending","pending","success"
"7.7.4","Clinical Profiles - False Negatives",9.3,"APPROVED",9.0,"CONDITIONAL",True,"success","success","success"
"7.8.1","Distinct REMEMVR memory profiles?",9.4,"APPROVED",9.1,"CONDITIONAL",True,"pending","pending","success"
"7.8.2","Profile External Validation",9.3,"APPROVED",9.1,"CONDITIONAL",True,"pending","pending","success"
"7.8.3","Error reading concept: 'utf-8' codec can't decode byte 0xb2 in position 635: invalid start byte",9.3,"APPROVED",9.0,"CONDITIONAL",True,"pending","pending","success"
"7.8.4","Error reading concept: 'utf-8' codec can't decode byte 0xb1 in position 4993: invalid start byte",9.3,"APPROVED",9.3,"APPROVED",True,"pending","pending","success"
