RQ	Scholar	Stats	Plan	Tools	Analysis	Inspect	Plots	Results	Validate	Notes
7.1.1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	R²=0.226, RPM strongest predictor (p=0.003), 77% unique REMEMVR variance
7.1.2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Intercept R²=0.243 > Slope R²=0.074 (p=0.067), cognitive tests predict encoding better than forgetting
7.1.3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	When R²=0.088 < What/Where R²≈0.24, RPM only significant predictor, domain-specific patterns not significant
7.1.4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	69.6% unexplained variance confirms incremental validity, cognitive block f²=0.272 (medium), RPM r=0.457
7.2.1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Suppression effect (119.8% mediation), Age β changes -0.130→+0.026, VR scaffolding hypothesis SUPPORTED
7.2.2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Attenuation 119.8% [41.9%, 620.8%], suppression effect confirms VR scaffolding hypothesis
7.2.3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NO interactions (all p>0.0125), f²<0.02, VR Scaffolding Hypothesis SUPPORTED - age-fair assessment
7.2.4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	RAVLT r=-0.292 (p=0.003), REMEMVR r=-0.193 (p=0.054), Steiger p=0.221, pattern supports VR scaffolding
7.3.1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Confidence R²=0.188 < accuracy (0.226), BVMT/RPM strongest, metacognitive dissociation SUPPORTED
7.3.2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Calibration R²=0.024 << accuracy R²=0.188, metacognitive dissociation CONFIRMED, calibration is distinct process
7.3.3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	HCE unpredictable: R²=0.031, RPM hypothesis null (p=0.90), severe overfitting, power=19% max, HCE independent of cognition
7.3.4	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	DASS differential prediction not supported (0/9 sig), all models R²<0.06, severely underpowered
7.3.5	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Calibration NOT predictive of cognitive reserve, all p>0.05, power<1%, null findings robust
7.4.1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Process-specificity NOT supported: r_FreeRecall=0.278 ≈ r_Recognition=0.284 (p=0.812), TAP theory challenged
7.4.2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Domain-specificity NOT supported: r_What=0.373 > r_Where=0.348 (p=0.336), domains r=0.96
7.4.3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NO differential prediction: r_Complex=0.457 ≈ r_Simple=0.445 (Steiger p=0.50), domains r=0.98, VR integration unified
7.5.1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Self-report predictors NOT significant: R²=0.063 (p=0.18), education negative, severe overfitting detected
7.5.2	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	DASS subscales NOT predict memory: ΔR²=0.032 (p=0.367), power=1.8%, null findings robust in subclinical sample
7.5.3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	Strategy use minimal: 2% mnemonics, rehearsal r=0.150 (p=0.273), incidental VR encoding shows low spontaneous strategy use
7.5.4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Within-person sleep effects on memory (v5.3.0 verified)
7.6.1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	Cognitive predictors of forgetting slopes (v5.3.0 verified)
